index, voldID, VolRef, DocID, DocRef, Title 
131 , 591 , 73358B , 10934 , 73358B-01, British security services' activities in the USA, 1940-1945 
132 , 591 , 73358B , 10935 , 73358B-02, British security services' activities in the USA, 1940-1945 
133 , 591 , 73358B , 10936 , 73358B-03, British security services' activities in the USA, 1940-1945 
134 , 591 , 73358B , 10937 , 73358B-04, British security services' activities in the USA, 1940-1945 
135 , 591 , 73358B , 10938 , 73358B-05, British security services' activities in the USA, 1940-1945 
136 , 591 , 73358B , 10939 , 73358B-06, British security services' activities in the USA, 1940-1945 
137 , 591 , 73358B , 10940 , 73358B-07, British security services' activities in the USA, 1940-1945 
138 , 591 , 73358B , 10941 , 73358B-08, British security services' activities in the USA, 1940-1945 
139 , 591 , 73358B , 10942 , 73358B-10, British security services' activities in the USA, 1940-1945 
140 , 591 , 73358B , 10943 , 73358B-11, British security services' activities in the USA, 1940-1945 
141 , 591 , 73358B , 10944 , 73358B-12, British security services' activities in the USA, 1940-1945 
142 , 591 , 73358B , 10945 , 73358B-13, British security services' activities in the USA, 1940-1945 
143 , 591 , 73358B , 10946 , 73358B-14, British security services' activities in the USA, 1940-1945 
144 , 591 , 73358B , 10947 , 73358B-15, British security services' activities in the USA, 1940-1945 
145 , 591 , 73358B , 10948 , 73358B-16, British security services' activities in the USA, 1940-1945 
146 , 591 , 73358B , 10949 , 73358B-17, British security services' activities in the USA, 1940-1945 
147 , 591 , 73358B , 10950 , 73358B-18, British security services' activities in the USA, 1940-1945 
148 , 591 , 73358B , 10951 , 73358B-19, British security services' activities in the USA, 1940-1945 
149 , 591 , 73358B , 10952 , 73358B-20, British security services' activities in the USA, 1940-1945 
150 , 592 , 73358C , 10953 , 73358C-01, US and British security services' operations in Europe, 1940-1945 
151 , 592 , 73358C , 10954 , 73358C-02, US and British security services' operations in Europe, 1940-1945 
152 , 592 , 73358C , 10955 , 73358C-03, US and British security services' operations in Europe, 1940-1945 
153 , 592 , 73358C , 10956 , 73358C-04, US and British security services' operations in Europe, 1940-1945 
154 , 592 , 73358C , 10957 , 73358C-05, US and British security services' operations in Europe, 1940-1945 
155 , 592 , 73358C , 10958 , 73358C-06, US and British security services' operations in Europe, 1940-1945 
